1940	57.4	31.6	63.6	44.5	62.5	161.3	74.8	60.3	105.2	68.2	126.1	60.5
1941	46.9	53.7	60.2	57.4	49.8	102.6	96.3	122.2	154.2	127.5	111.4	66.5
1942	47.6	109.3	62.3	43.9	41.4	154	124.2	63.8	96.2	77.6	59.6	67.4
1943	43.8	50	50.9	56.2	50.9	103.1	118.5	134.9	45.4	113	60.6	41.1
1944	35.6	72.3	55.4	33.5	65.6	90.2	116.1	99.4	110.4	83.8	57.6	73.5
1945	116.8	46.4	45.4	65.6	83.9	118	143.8	67.9	127.8	86.6	68.7	64.2
1946	71.8	74.6	53.4	54.9	68	79.8	124.5	62.7	60.5	64.5	58.3	81
1947	46.6	72.2	50.2	53.7	109.7	82.6	139	67.1	99.4	38.2	96	48.6
1948	35.7	28.1	31.9	53.8	96.2	71.8	105.9	115.8	93.8	65.4	93.7	50.6
1949	56.8	39.5	54.8	39.3	101.5	111.6	91	151.2	102.3	66.5	75	44.6
1950	64.4	68	38.5	63.8	38.9	162.7	126.2	68.6	54.5	105.8	171.5	83.2
1951	83.1	77.6	56.1	68.8	58.2	72.2	146.1	85.8	81.6	83.6	89.4	66.3
1952	74.1	84.4	54.7	43.4	57.9	131.1	115.5	129.5	87.3	122	32	28.8
1953	83.4	78	82.1	79.9	37.7	81.8	138.2	54.9	131.3	45.4	66.8	89.9
1954	51.3	60.4	46	69	80.3	91.9	186.8	144.7	128.7	78	93.5	117.2
1955	81.9	52	105.8	31.7	73.3	60.2	72	106.6	136.2	45.4	63.7	46.7
1956	78.2	40.7	34.4	40.9	58.1	83.9	126.4	104.3	112.7	62.4	67.5	65.8
1957	35.8	53.4	39.2	49.1	40.9	132.6	99	58.1	156.5	68.8	93.2	91.6
1958	78.8	79.2	20.4	56.1	64.3	164.5	118.4	157.3	96.6	70.6	79.1	45
1959	72.8	39.2	69.7	54.4	43.2	133.2	81.4	86.3	78.5	94.5	128.9	40.1
1960	61.7	102.6	38	42	50.7	89.2	110.7	79.4	119.3	67.2	104.7	57.6
1961	50.4	43.1	56.8	24.2	74.4	110.7	98	114.1	110.2	57.2	58.3	64.9
1962	72.7	32.4	23.4	58.5	67.3	84.8	117.1	91.5	118.3	71.4	59.8	84.8
1963	65.3	52.5	43.5	58.2	64.1	94.6	155.1	87.8	100.3	70.2	113.2	34
1964	70.5	36.2	81.1	17.4	111.1	148.7	137.5	132.3	77.1	80.7	67.1	72.2
1965	62	60.5	19.2	24.3	70.8	79.9	126.1	133.1	106.8	113.1	66.3	45.1
1966	60.1	34.1	63.7	35.9	58.6	72.1	200.5	124.6	112	124.4	142.2	75.2
1967	58.1	49.5	16.6	34.1	72.5	82.6	175.3	100.6	161	98.9	90.5	73.5
1968	45.3	62.6	64.6	70.8	14.7	80.3	111.6	138.4	78.9	104.8	50.6	106.7
1969	91.6	67.3	64.6	47.2	72.7	107.2	109.3	137.5	139.9	86.1	108.6	109.1
1970	47	61.5	62.1	48.9	77.3	113.2	128.4	139.4	86.4	71.9	79.4	44.3
1971	50.4	61.4	62.1	80.1	67.6	68.7	115.4	159.4	120	103.9	84.4	75.2
1972	67.1	58.8	93.2	27.3	50.5	119.3	99.3	121.4	166.9	82.1	69.5	75.9
1973	71.7	69.4	72.3	98.5	98.8	85.2	132.4	118.2	98.4	118.9	74.2	161.1
1974	34.2	38.7	78	66.9	77.3	78.5	107.8	126.2	112.3	94.7	62.7	84.3
1975	52.4	30.6	74.6	59.9	47.5	128.4	125.6	92	119.1	49.3	85.7	65.4
1976	65.5	70.6	55.3	86.7	105.8	63.5	131	129.6	131.5	111	63	103.7
